,t2m,tp,log_tp,snr,ssrd,skt,q
1997-02-06,299.15927,16.455805,2.859672,13.648394,19.967993,298.68927,0.017061
1997-02-07,299.5983,0.440499,0.36499,13.985512,21.203049,299.20685,0.016844
1997-02-08,299.88208,0.041436,0.040601,14.763486,22.490347,299.09912,0.015869
1997-02-09,300.84274,1.464661,0.902054,14.855899,21.952728,299.64297,0.016518
1997-02-10,299.14484,7.225364,2.107223,10.543979,15.57817,298.32755,0.017645
1997-02-11,298.67047,17.981537,2.943467,11.398295,16.486755,298.45505,0.017487
1997-02-12,298.74875,5.742994,1.908504,10.768169,15.584103,298.27203,0.018326
1997-02-13,298.67465,8.918401,2.294392,9.947093,14.524327,298.2232,0.018765
1997-02-14,298.91644,5.328867,1.845121,10.36622,14.895519,297.84784,0.018445
1997-02-15,299.94647,4.834326,1.763759,13.921307,20.225237,299.27917,0.017523
1997-02-16,299.04996,4.401146,1.686611,11.384582,16.596922,298.4829,0.017886
1997-02-17,300.76947,0.329472,0.284782,12.201831,18.455242,299.4474,0.01761
1997-02-18,300.85147,0.779907,0.576561,12.470935,19.110708,299.36493,0.017148
1997-02-19,300.4079,1.029026,0.707556,13.914379,20.734482,299.50937,0.016913
1997-02-20,299.2907,6.74471,2.04701,11.662985,17.43745,298.39874,0.016882
1997-02-21,299.27197,6.42048,2.004244,11.503325,16.973343,298.65744,0.016806
1997-02-22,299.45663,2.507606,1.254934,11.67628,17.346825,298.23438,0.016549
1997-02-23,299.3865,6.323357,1.991069,13.45969,19.256126,298.16602,0.01687
1997-02-24,299.22147,1.203791,0.790179,11.45638,17.345978,298.21805,0.016658
1997-02-25,299.36905,3.149603,1.423013,12.616502,18.363817,299.08972,0.017752
1997-02-26,299.31473,3.377241,1.476419,13.121561,19.176332,298.68674,0.017222
1997-02-27,299.0003,4.334216,1.674142,12.51418,18.071436,297.82455,0.017447
1997-02-28,299.00137,6.482101,2.012514,11.59686,17.306211,298.19205,0.017402
1997-03-01,299.2814,3.820379,1.572853,13.031732,19.11342,298.84525,0.017467
1997-03-02,298.21103,3.058806,1.400889,10.150471,14.923163,297.77606,0.017364
1997-03-03,297.84528,20.648499,3.074936,10.999019,15.986042,297.68512,0.017346
1997-03-04,298.2127,8.817198,2.284136,10.787288,15.835848,296.9442,0.016791
1997-03-05,298.8081,11.428711,2.520009,12.386033,18.240818,297.85724,0.017129
1997-03-06,298.69156,9.633272,2.363988,10.345336,15.396895,297.7167,0.01689
1997-03-07,298.3555,11.613082,2.534735,12.049417,17.270412,297.85202,0.017588
1997-03-08,298.30392,16.88899,2.884185,8.763788,12.584671,297.39966,0.017819
1997-03-09,298.03513,14.552753,2.744238,9.109946,13.556236,297.4682,0.017402
1997-03-10,299.45203,6.402022,2.001753,11.631957,16.744928,298.3581,0.016894
1997-03-11,298.9733,5.089202,1.806517,10.023678,14.980111,298.06506,0.017603
1997-03-12,298.71353,6.004122,1.946499,12.712687,18.255312,298.6585,0.017347
1997-03-13,299.84985,1.702406,0.994142,13.314922,19.241547,298.74988,0.017217
1997-03-14,298.84866,10.468068,2.439566,13.919166,19.867027,298.66498,0.017572
1997-03-15,298.39874,16.196209,2.844689,11.002296,15.825966,297.9964,0.017555
1997-03-16,299.25983,16.266851,2.848789,11.107849,15.578557,298.84912,0.017909
