,soilm
-34.625,0.25680625
-34.875,0.3058104175
-35.125,0.308935415
-35.375,0.2028343725
-35.625,-9999
-35.875,-9999
-36.125,-9999
-36.375,0.28217083
-36.625,-9999
-36.875,-9999
-37.125,-9999
-37.375,-9999
-37.625,-9999
-37.875,-9999
-38.125,-9999
-38.375,-9999
-38.625,-9999
-38.875,-9999
-39.125,-9999
-39.375,-9999
-39.625,-9999
-39.875,-9999
-40.125,-9999
-40.375,-9999
-40.625,-9999
-40.875,-9999
-41.125,-9999
-41.375,-9999
-41.625,-9999
-41.875,-9999
-42.125,-9999
-42.375,-9999
-42.625,-9999
-42.875,-9999
-43.125,-9999
-43.375,-9999
-43.625,-9999
-43.875,-9999
-44.125,-9999
-44.375,-9999
-44.625,-9999
-44.875,-9999
-45.125,-9999
-45.375,-9999
-45.625,-9999
-45.875,-9999
-46.125,-9999
-46.375,-9999
-46.625,-9999
-46.875,-9999
-47.125,-9999
-47.375,-9999
-47.625,-9999
-47.875,-9999
-48.125,-9999
-48.375,-9999
-48.625,-9999
-48.875,-9999
-49.125,-9999
-49.375,-9999
-49.625,-9999
-49.875,-9999
-50.125,-9999
-50.375,-9999
-50.625,-9999
-50.875,-9999
-51.125,-9999
-51.375,-9999
-51.625,-9999
-51.875,-9999
-52.125,-9999
-52.375,-9999
-52.625,-9999
-52.875,-9999
-53.125,-9999
-53.375,-9999
-53.625,-9999
-53.875,-9999
-54.125,-9999
-54.375,-9999
-54.625,-9999
-54.875,-9999
-55.125,-9999
-55.375,-9999
-55.625,-9999
-55.875,-9999
-56.125,-9999
-56.375,-9999
-56.625,-9999
-56.875,-9999
-57.125,-9999
-57.375,-9999
-57.625,-9999
-57.875,-9999
-58.125,-9999
-58.375,-9999
-58.625,-9999
-58.875,-9999
-59.125,-9999
-59.375,-9999
-59.625,-9999
-59.875,-9999
