arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,esa_bias,esa_corr,esa_nse,esa_rmse,esa_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.666,0.084,0.735,0.092,112.519,0.024,-1.516,0.576,-0.1,385.734,0.026,2.447,0.614,-0.113,-310.743,0.026,-0.603,0.708,0.495,83.861,0.018,SAmerica,298.691
2.401,-6.552,0.684,-0.12,1507.548,0.021,-0.696,0.437,-0.661,185.726,0.026,8.202,0.537,-0.779,1899.554,0.027,-2.4,0.75,0.532,974.577,0.014,SAmerica,298.119
2.27,-1.196,0.655,-0.067,-136.47,0.021,-1.097,0.637,-0.11,-87.28,0.021,-1.666,0.735,-0.249,-147.659,0.023,-0.583,0.657,0.415,-101.082,0.015,SAmerica,297.564
3.687,2.413,0.773,0.315,136.36,0.023,0.506,0.702,-0.123,84.269,0.029,2.293,0.791,0.265,141.183,0.024,1.174,0.736,0.541,111.537,0.019,SAmerica,296.586
2.863,-5.756,0.841,0.579,148.675,0.017,-1.671,0.608,-0.025,126.308,0.027,-1.289,0.706,0.284,46.257,0.023,-3.658,0.849,0.708,123.809,0.014,SAmerica,300.266
2.544,0.216,0.566,-0.042,253.592,0.025,-1.233,0.485,-0.16,164.142,0.027,1.914,0.53,-0.607,-542.231,0.031,-0.458,0.572,0.319,204.953,0.02,SAmerica,298.638
2.429,3.512,0.636,-0.131,-207.17,0.019,-5.606,0.58,-0.26,436.194,0.021,0.208,0.581,-0.534,-241.267,0.022,1.163,0.656,0.304,-162.54,0.015,SAmerica,298.279
2.025,-0.236,0.6,0.236,-313.34,0.026,-1.344,0.617,-0.052,201.878,0.031,6.481,0.67,0.109,-865.543,0.028,-0.525,0.583,0.326,-294.214,0.024,SAmerica,296.584
2.159,-0.965,0.616,-0.149,-334.681,0.021,-1.337,0.592,-0.921,93.165,0.027,4.094,0.651,-0.609,-524.355,0.024,-1.303,0.572,0.188,-281.494,0.017,SAmerica,295.879
2.274,1.528,0.88,0.211,-52.134,0.017,30.141,0.776,-0.873,-1076.423,0.026,0.38,0.79,-1.166,-86.373,0.028,1.522,0.864,0.682,-33.1,0.011,SAmerica,295.116
3.63,1.822,0.729,-0.525,-98.335,0.025,1.182,0.662,-1.319,-89.78,0.03,10.386,0.677,-0.564,-283.318,0.025,-0.297,0.749,0.483,-57.242,0.014,SAmerica,295.954
3.463,0.677,0.637,-2.516,346.503,0.024,-0.854,0.467,-3.195,625.719,0.027,0.79,0.548,-3.618,-456.508,0.027,-0.221,0.665,-0.473,224.322,0.016,SAmerica,295.532
3.044,0.331,0.734,-1.649,-299.918,0.026,0.426,0.57,-1.539,-259.572,0.025,-2.017,0.649,-1.627,216.995,0.026,-0.521,0.744,-0.074,-191.005,0.017,SAmerica,295.107
2.528,0.696,0.679,0.094,61.963,0.022,12.812,0.473,-1.05,621.304,0.033,1.24,0.714,0.077,62.562,0.022,0.016,0.679,0.422,49.485,0.017,SAmerica,297.758
2.542,0.022,0.721,0.352,-198.11,0.019,-0.821,0.612,0.173,-175.201,0.022,-1.382,0.629,-0.014,-247.804,0.024,-1.647,0.669,0.447,-183.056,0.018,SAmerica,298.601
2.561,0.094,0.576,-0.11,58.633,0.021,-1.272,0.531,-0.448,45.208,0.024,-0.679,0.54,-0.789,74.432,0.027,-0.015,0.61,0.281,47.183,0.017,SAmerica,298.496
