arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
3.63,3.109,0.773,-0.62,-190.132,0.016,-5.525,0.864,0.576,162.619,0.008,0.974,0.803,0.593,-95.257,0.008,SAmerica,295.954
3.463,-0.006,0.491,-0.888,-158.639,0.015,-0.183,0.631,0.22,-101.962,0.01,0.039,0.568,0.124,-108.036,0.01,SAmerica,295.532
3.044,-0.127,0.684,-2.571,-220.879,0.019,-0.773,0.557,0.016,85.928,0.01,-0.625,0.71,-0.739,-154.118,0.013,SAmerica,295.107
2.528,0.331,0.702,0.234,-1013.909,0.019,-0.632,0.609,0.361,-926.151,0.018,-0.625,0.737,0.537,-787.898,0.015,SAmerica,297.758
2.542,2.296,0.597,0.283,133.17,0.012,0.169,0.518,0.237,137.383,0.012,0.586,0.599,0.35,126.792,0.012,SAmerica,298.601
2.561,-0.493,0.361,0.06,-96.935,0.026,-0.481,0.585,0.341,-81.156,0.021,-0.702,0.542,0.284,-84.639,0.022,SAmerica,298.496
2.328,2.254,0.58,0.271,-507.389,0.016,6.357,0.753,0.563,-392.919,0.012,1.309,0.651,0.422,-451.873,0.014,SAmerica,298.203
2.165,-1.221,0.713,-0.094,-420.735,0.014,0.499,0.708,0.485,-288.73,0.009,-4.448,0.756,0.376,-317.704,0.01,SAmerica,295.125
3.082,-0.964,0.693,0.371,-50.753,0.021,-1.16,0.622,0.387,-50.115,0.021,-1.133,0.741,0.545,-43.162,0.018,SAmerica,300.035
2.373,-1.028,0.617,0.189,65.624,0.013,-1.38,0.535,0.279,61.881,0.012,-0.79,0.661,0.386,57.094,0.011,SAmerica,298.23
2.673,0.013,0.537,0.256,-150.378,0.014,-1.545,0.482,0.155,-270.897,0.015,-0.993,0.502,0.245,-151.552,0.014,SAmerica,298.343
2.138,2.225,0.866,-4.414,-11.235,0.022,1.158,0.806,0.193,-4.336,0.008,1.394,0.82,-0.4,-5.712,0.011,SAmerica,296.67
2.074,-1.009,0.487,-0.064,94.36,0.017,-1.981,0.362,0.002,122.897,0.016,-1.145,0.517,0.226,80.448,0.014,SAmerica,297.798
3.147,0.073,0.632,0.298,-95.276,0.011,-0.059,0.526,0.26,-97.811,0.011,0.056,0.708,0.501,-80.302,0.009,SAmerica,298.565
2.021,0.215,0.736,-0.342,51.709,0.011,1.006,0.84,0.699,24.487,0.005,0.58,0.67,0.15,41.153,0.009,SAmerica,297.02
2.246,-0.887,0.561,0.108,-339.345,0.019,-3.231,0.709,0.502,266.921,0.012,-0.719,0.55,0.283,-304.216,0.017,SAmerica,296.375
2.246,0.273,0.602,-0.956,-126.363,0.016,-0.49,0.736,0.415,-69.084,0.009,-0.369,0.616,0.084,-86.465,0.011,SAmerica,296.375
2.736,-1.83,0.713,-0.023,70.755,0.015,-1.056,0.643,0.404,54.006,0.012,-1.666,0.727,0.475,50.68,0.011,SAmerica,293.832
3.223,-0.683,0.581,-0.224,-35.646,0.019,-0.739,0.703,0.476,-23.326,0.013,-0.687,0.518,0.079,-30.931,0.017,SAmerica,296.599
2.827,-0.428,0.64,0.334,-40.852,0.025,-0.667,0.672,0.359,125.646,0.023,-0.529,0.679,0.456,-36.938,0.022,SAmerica,300.227
2.337,-4.056,0.471,-5.799,-775.809,0.025,-2.729,0.717,0.258,-256.292,0.008,-3.323,0.494,-2.922,-589.22,0.019,SAmerica,298.602
2.091,-1.036,0.533,0.272,-66.562,0.024,-0.852,0.377,0.131,-72.714,0.026,-1.176,0.533,0.252,-67.45,0.024,SAmerica,297.108
1.807,4.893,0.262,-17.798,-181.177,0.019,0.48,0.5,-3.509,-88.731,0.009,2.335,0.253,-8.576,-129.311,0.014,SAmerica,295.526
2.128,-0.331,0.622,0.33,-104.182,0.051,-0.454,0.512,0.165,-175.238,0.057,-0.534,0.654,0.26,-109.431,0.054,SAmerica,293.903
2.216,-0.737,0.516,-0.421,39.675,0.025,-0.093,0.625,0.371,24.925,0.016,-0.729,0.538,0.054,32.367,0.02,SAmerica,297.801
2.507,-1.342,0.515,0.158,52.826,0.022,-0.969,0.548,0.298,48.238,0.02,-0.442,0.581,0.334,47.004,0.02,SAmerica,300.412
2.034,-5.787,0.581,-0.303,258.483,0.012,-4.77,0.767,0.587,145.488,0.007,-2.195,0.586,0.102,214.601,0.01,SAmerica,295.652
2.881,-5.475,0.565,0.128,247.085,0.013,-7.814,0.545,0.092,252.086,0.014,-2.527,0.609,0.33,216.644,0.012,SAmerica,296.045
2.327,1.036,0.695,-1.254,-439.206,0.015,-0.201,0.693,0.434,-220.047,0.008,-1.529,0.647,-0.172,-316.795,0.011,SAmerica,297.188
1.915,0.52,0.653,-0.02,-125.816,0.021,-0.24,0.577,0.311,-103.403,0.017,-0.121,0.664,0.359,-99.736,0.016,SAmerica,294.212
1.802,-9.032,0.504,-0.294,230.948,0.016,-4.046,0.647,0.37,161.118,0.011,-1.496,0.718,0.515,141.416,0.01,SAmerica,295.368
2.189,-29.036,0.61,-0.707,-388.942,0.016,1.699,0.763,0.377,-234.959,0.009,-32.425,0.6,-0.104,-312.853,0.013,SAmerica,295.02
2.596,-2.146,0.647,-0.612,-217.352,0.015,-6.916,0.633,0.187,834.466,0.011,-2.087,0.649,0.157,-157.195,0.011,SAmerica,295.284
2.596,1.079,0.582,-0.179,2017.982,0.015,1.585,0.65,0.407,1430.752,0.01,14.776,0.651,0.325,1527.24,0.011,SAmerica,295.284
2.25,2.461,0.605,-0.465,295.325,0.02,-0.272,0.497,0.243,212.242,0.014,0.837,0.574,0.068,235.603,0.016,SAmerica,296.9
2.046,-1.291,0.598,-0.356,-554.492,0.021,-0.615,0.637,0.405,-367.262,0.014,-0.858,0.651,0.261,-409.439,0.015,SAmerica,294.129
2.442,418.188,0.655,-2.064,-84511.553,0.02,88.411,0.648,0.38,-38014.155,0.009,41.12,0.646,-0.431,-57756.848,0.014,SAmerica,294.362
2.833,-1.263,0.678,-0.442,-62.351,0.018,-0.711,0.471,0.042,-40.132,0.013,-1.404,0.656,0.113,-48.903,0.014,SAmerica,297.475
2.534,0.341,0.657,-0.831,-371.721,0.022,-2.13,0.733,0.534,262.491,0.011,-0.054,0.652,0.087,-262.389,0.016,SAmerica,299.775
2.534,-1.089,0.584,0.139,-74.558,0.02,-0.984,0.5,0.231,-70.484,0.019,-1.248,0.555,0.276,-68.391,0.018,SAmerica,299.775
2.587,-25.929,0.415,-2.05,-1541.257,0.02,-1.246,0.457,-0.555,118.226,0.014,-3.474,0.469,-0.523,-1089.304,0.014,SAmerica,295.72
2.587,-1.159,0.493,-1.953,67.719,0.014,-1.057,0.545,-0.026,39.925,0.008,-0.834,0.576,-0.528,48.71,0.01,SAmerica,295.72
2.1,-3.931,0.624,0.069,260.792,0.021,-4.149,0.592,0.348,218.363,0.018,-2.482,0.707,0.463,198.123,0.016,SAmerica,295.272
2.408,0.683,0.669,-0.513,-116.417,0.02,0.554,0.675,0.45,-70.173,0.012,0.266,0.644,0.215,-83.842,0.015,SAmerica,296.073
